antecedents,consequents,lift,diff,Ante_calories_per_100g,Ante_calories_kcal,Conse_calories_per_100g,Conse_calories_kcal,Ante_category,Conse_category,diff_min
CULTURED MILK,LIQUID MILK,1.211454167353137,0.21145416735313693,72,720.0,61,610.0,drinks,drinks,0.21145416735313693
TONIC FOOD DRINK,LIQUID MILK,1.0877816920221997,0.08778169202219965,548,5480.0,61,610.0,drinks,drinks,0.08778169202219965
CHOCOLATE,SNACK,1.2112877953562637,0.21128779535626374,529,5290.0,300,1500.0,snacks,snacks,0.21128779535626374
FROZEN FOOD,CANNED PRODUCT,1.1480662692139654,0.14806626921396537,233,1165.0,150,750.0,frozen_canned_food,frozen_canned_food,0.14806626921396537
LIQUID MILK,TEA,1.0882367545360063,0.08823675453600632,61,610.0,1,1.0,drinks,drinks,0.08823675453600632
